     **********************************************************
                               data
     **********************************************************
  ==data==01-set
  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

               25000228      1.76     1.62       1/1705      0.69%    0.85
   24     1    24000228     36.70    33.14         3000
               24000228      1.77     1.63       1/1692      0.48%    0.85
   23     1    23000228     35.09    31.62         3000
               23000228      1.78     1.64       1/1683      0.25%    0.84
   22     1    22000228     33.46    30.08         3000
               22000228      1.79     1.64       1/1677      0.00%    0.84
   21     1    21000228     31.81    28.53         3000
               21000228      1.79     1.64       1/1676      0.32%    0.84
   20     1    20000228     30.15    26.97         3000
               20000228      1.78     1.64       1/1682      0.75%    0.83
   19     1    19000228     28.48    25.41         3000
               19000228      1.77     1.63       1/ 995      1.42%    0.83
   18     1    18000228     26.81    23.85         3000
               18000228      1.74     1.60       1/1724      2.99%    0.82
   17     1    17000229     25.16    22.31         3000
               17000229      1.68     1.55       1/ 989      1.97%    0.80
   16     1    16000229     23.38    20.64         4900
               16000229      2.68     2.48       1/1826      3.27%    0.80
   15     1    15000190     20.97    18.35         3000
               15000190      1.73     1.58       1/1729      0.92%    0.84
   14     1    14000228     19.30    16.81         3000
               14000228      1.72     1.56       1/1743      0.85%    0.84
   13     1    13000228     17.62    15.29         3000
               13000228      1.72     1.54       1/1746      1.40%    0.83
   12     1    12000228     15.95    13.77         3000
               12000228      1.70     1.52       1/1761      1.83%    0.81
   11     1    11000228     14.28    12.27         3000
               11000228      1.68     1.49       1/1782      2.37%    0.81
   10     1    10000228     12.63    10.80         3000
               10000228      1.65     1.46       1/1813      3.01%    0.80
    9     1     9000228     11.00     9.36         3000
                9000228      1.62     1.41       1/ 956      3.80%    0.79
    8     1     8000228      9.40     7.96         3000
                8000228      1.57     1.36       1/1915      4.85%    0.78
    7     1     7000228      7.85     6.61         3000
                7000228      1.50     1.29       1/1996      6.01%    0.76
    6     1     6000228      6.35     5.33         3000
                6000228      1.43     1.21       1/2104      8.18%    0.75
    5     1     5000228      4.93     4.12         3000
                5000228      1.32     1.11       1/2272     10.65%    0.72
    4     1     4000228      3.62     3.01         3000
                4000228      1.19     1.00       1/2517     14.98%    0.69
    3     1     3000228      2.43     2.02         3000
                3000228      1.02     0.85       1/2934     23.42%    0.65
    2     1     2000228      1.41     1.17         3000
                2000228      0.78     0.65       1/3822     51.65%    0.59
    1     1     1000253      0.63     0.53         5000
                1000253      0.63     0.53       1/7984    100.00%    0.37

  ==data==03-set

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   44     1    44000140     58.83    57.91         5000
               44000140      1.93     1.62       1/2588      8.48%    1.00
   43     1    43000145     57.07    56.47         4000
               43000145      1.60     1.41       1/2503      2.07%    0.83
   42     1    42000221     55.67    55.24         3000
               42000221      1.22     1.08       1/2463      3.25%    0.89
   41     1    41000247     54.57    54.24         3000
               41000247      1.25     1.11       1/2408      3.28%    0.90
   40     1    40000247     53.43    53.19         3000
               40000247      1.27     1.15       1/2358      3.41%    0.89
   39     1    39000247     52.27    52.11         3000
               39000247      1.30     1.19       1/2305      3.28%    0.89
   38     1    38000228     51.22    51.05         3000
               38000247      1.33     1.22       1/2253      3.05%    0.89
   37     1    37000228     50.22    49.99         3000
               37000247      1.36     1.26       1/2205      2.71%    0.89
   36     1    36000228     49.19    48.90         3000
               36000247      1.39     1.30       1/2161      2.26%    0.88
   35     1    35000228     48.13    47.76         3000
               35000247      1.41     1.33       1/2122      1.51%    0.88
   34     1    34000228     47.04    46.58         3000
               34000247      1.43     1.35       1/2093      0.16%    0.87
   33     1    33000229     45.92    45.37         3000
               33000248      1.44     1.35       1/2077      1.57%    0.85
   32     1    32000229     44.58    43.93         4900
               32000248      2.39     2.24       1/2048      6.22%    0.85
   31     1    31000190     42.92    42.11         3000
               31000206      1.52     1.45       1/1979      1.54%    0.89
   30     1    30000228     41.67    40.79         3000
               30000247      1.53     1.48       1/1960      1.89%    0.88
   29     1    29000228     40.39    39.45         3000
               29000247      1.55     1.50       1/1937      1.54%    0.87
   28     1    28000228     39.07    38.07         3000
               28000247      1.56     1.53       1/1919      1.35%    0.86
   27     1    27000228     37.72    36.67         3000
               27000247      1.58     1.55       1/1903      1.13%    0.86
   26     1    26000228     36.34    35.24         3000
               26000247      1.59     1.56       1/1890      0.93%    0.85
   25     1    25000228     34.92    33.79         3000
               25000247      1.60     1.58       1/1880      0.73%    0.85
   24     1    24000228     33.48    32.32         3000
               24000247      1.60     1.59       1/1874      0.52%    0.85
   23     1    23000228     32.02    30.83         3000
               23000228      1.61     1.60       1/1863      0.29%    0.84
   22     1    22000228     30.53    29.33         3000
               22000228      1.62     1.60       1/1855      0.03%    0.84
   21     1    21000228     29.03    27.81         3000
               21000228      1.62     1.60       1/1852      0.30%    0.84
   20     1    20000228     27.52    26.29         3000
               20000228      1.62     1.60       1/1857      0.73%    0.83
   19     1    19000228     26.00    24.76         3000
               19000228      1.60     1.59       1/1872      1.41%    0.83
   18     1    18000228     24.48    23.24         3000
               18000228      1.58     1.56       1/1903      2.97%    0.82
   17     1    17000229     22.98    21.73         3000
               17000248      1.53     1.52       1/1956      2.01%    0.80
   16     1    16000229     21.36    20.10         4900
               16000248      2.46     2.43       1/1993      3.49%    0.80
   15     1    15000190     19.17    17.86         3000
               15000190      1.58     1.54       1/1903      1.13%    0.84
   14     1    14000228     17.64    16.36         3000
               14000228      1.57     1.52       1/1914      0.89%    0.84
   13     1    13000228     16.11    14.87         3000
               13000228      1.57     1.51       1/1915      1.45%    0.83
   12     1    12000228     14.57    13.39         3000
               12000228      1.56     1.48       1/1929      1.89%    0.81
   11     1    11000228     13.05    11.92         3000
               11000228      1.54     1.46       1/1951      2.45%    0.81
   10     1    10000228     11.53    10.49         3000
               10000228      1.51     1.42       1/1984      3.10%    0.80
    9     1     9000228     10.04     9.08         3000
                9000228      1.48     1.38       1/2031      3.91%    0.79
    8     1     8000228      8.57     7.72         3000
                8000228      1.43     1.32       1/2095      4.97%    0.78
    7     1     7000228      7.15     6.41         3000
                7000228      1.37     1.26       1/2184      6.16%    0.76
    6     1     6000228      5.79     5.16         3000
                6000228      1.30     1.18       1/2304      8.32%    0.75
    5     1     5000228      4.49     3.98         3000
                5000228      1.21     1.08       1/2489     10.81%    0.72
    4     1     4000228      3.29     2.91         3000
                4000228      1.09     0.96       1/2761     15.13%    0.69
    3     1     3000228      2.21     1.95         3000
                3000228      0.93     0.82       1/3224     23.49%    0.65
    2     1     2000228      1.28     1.13         3000
                2000228      0.71     0.63       1/4207     51.67%    0.59
    1     1     1000253      0.57     0.51         5000
                1000253      0.57     0.51       1/8832    100.00%    0.37
